Year,CategoryRaw,week,value,short_desc,Type,five_year_avg_value
2014,PCT PLANTED,2014-07-06,88,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual,91
2014,PCT PLANTED,2014-07-13,94,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual,97
2014,PCT PLANTED,2014-07-20,97,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual,99
2014,PCT SETTING PODS,2014-07-13,4,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual,0
2014,PCT SETTING PODS,2014-07-20,5,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual,2
2014,PCT SETTING PODS,2014-07-27,16,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual,10
2014,PCT SETTING PODS,2014-08-03,21,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual,22
2014,PCT SETTING PODS,2014-08-10,29,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual,35
2014,PCT SETTING PODS,2014-08-17,42,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual,49
2014,PCT SETTING PODS,2014-08-24,52,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual,63
2014,PCT SETTING PODS,2014-08-31,58,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual,76
2014,PCT SETTING PODS,2014-09-07,80,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual,87
2014,PCT SETTING PODS,2014-09-14,87,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual,95
2014,PCT SETTING PODS,2014-09-21,96,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual,99
2014,PCT SETTING PODS,2014-09-28,98,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual,100
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",2014-07-06,3,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",2014-07-13,8,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",2014-07-20,19,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",2014-07-27,38,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",2014-08-03,56,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",2014-08-10,71,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",2014-08-17,81,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",2014-08-24,90,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",2014-08-31,95,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",2014-09-07,99,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",2014-09-14,100,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",2014-08-31,2,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",2014-09-07,7,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",2014-09-14,14,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",2014-09-21,27,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",2014-09-28,41,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",2014-10-05,56,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",2014-10-12,70,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",2014-10-19,82,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",2014-10-26,92,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",2014-11-02,97,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",2014-11-09,99,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT DROPPING LEAVES",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT EMERGED",2014-06-08,40,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT EMERGED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT EMERGED",2014-06-15,51,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT EMERGED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT EMERGED",2014-06-22,60,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT EMERGED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT EMERGED",2014-06-29,73,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT EMERGED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT EMERGED",2014-07-06,81,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT EMERGED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT EMERGED",2014-07-13,90,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT EMERGED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT EMERGED",2014-07-20,96,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT EMERGED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT EMERGED",2014-07-27,99,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT EMERGED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",2014-09-21,0,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",2014-09-28,2,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",2014-10-05,5,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",2014-10-12,9,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",2014-10-19,17,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",2014-10-26,29,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",2014-11-02,41,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",2014-11-09,54,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",2014-11-16,66,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",2014-11-23,77,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT HARVESTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",2014-05-04,7,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",2014-05-11,15,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",2014-05-18,24,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",2014-05-25,33,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",2014-06-01,44,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",2014-06-08,54,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",2014-06-15,64,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",2014-06-22,74,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",2014-06-29,85,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",2014-07-06,91,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",2014-07-13,97,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",2014-07-20,99,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT PLANTED",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",2014-07-13,0,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",2014-07-20,2,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",2014-07-27,10,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",2014-08-03,22,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",2014-08-10,35,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",2014-08-17,49,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",2014-08-24,63,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",2014-08-31,76,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",2014-09-07,87,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",2014-09-14,95,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",2014-09-21,99,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",Actual,NA
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",2014-09-28,100,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT SETTING PODS",Actual,NA
2015,PCT BLOOMING,2015-07-05,1,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,3
2015,PCT BLOOMING,2015-07-12,11,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,8
2015,PCT BLOOMING,2015-07-19,18,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,18
2015,PCT BLOOMING,2015-07-26,27,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,37
2015,PCT BLOOMING,2015-08-02,45,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,53
2015,PCT BLOOMING,2015-08-09,57,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,65
2015,PCT BLOOMING,2015-08-16,72,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,76
2015,PCT BLOOMING,2015-08-23,80,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,87
2015,PCT BLOOMING,2015-08-30,86,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,92
2015,PCT BLOOMING,2015-09-06,94,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,96
2015,PCT BLOOMING,2015-09-13,96,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,99
2015,PCT DROPPING LEAVES,2015-08-30,2,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,1
2015,PCT DROPPING LEAVES,2015-09-06,10,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,5
2015,PCT DROPPING LEAVES,2015-09-13,18,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,11
2015,PCT DROPPING LEAVES,2015-09-20,28,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,23
2015,PCT DROPPING LEAVES,2015-09-27,42,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,40
2015,PCT DROPPING LEAVES,2015-10-04,55,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,52
2015,PCT DROPPING LEAVES,2015-10-11,70,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,67
2015,PCT DROPPING LEAVES,2015-10-18,82,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,80
2015,PCT DROPPING LEAVES,2015-10-25,90,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,91
2015,PCT DROPPING LEAVES,2015-11-01,93,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,95
2015,PCT DROPPING LEAVES,2015-11-08,97,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,99
2015,PCT EMERGED,2015-05-10,1,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,NA
2015,PCT EMERGED,2015-05-17,7,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,NA
2015,PCT EMERGED,2015-05-24,18,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,NA
2015,PCT EMERGED,2015-05-31,31,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,NA
2015,PCT EMERGED,2015-06-07,41,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,39
2015,PCT EMERGED,2015-06-14,52,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,50
2015,PCT EMERGED,2015-06-21,60,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,59
2015,PCT EMERGED,2015-06-28,69,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,70
2015,PCT EMERGED,2015-07-05,79,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,79
2015,PCT EMERGED,2015-07-12,86,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,87
2015,PCT EMERGED,2015-07-19,95,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,94
2015,PCT HARVESTED,2015-09-27,1,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,2
2015,PCT HARVESTED,2015-10-04,3,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,5
2015,PCT HARVESTED,2015-10-11,10,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,9
2015,PCT HARVESTED,2015-10-18,21,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,16
2015,PCT HARVESTED,2015-10-25,33,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,28
2015,PCT HARVESTED,2015-11-01,47,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,40
2015,PCT HARVESTED,2015-11-08,55,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,53
2015,PCT HARVESTED,2015-11-15,66,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,67
2015,PCT HARVESTED,2015-11-22,76,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,79
2015,PCT HARVESTED,2015-11-29,84,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,87
2015,PCT PLANTED,2015-04-26,0,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual,1
2015,PCT PLANTED,2015-05-03,3,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual,6
2015,PCT PLANTED,2015-05-10,12,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual,13
2015,PCT PLANTED,2015-05-17,23,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual,22
2015,PCT PLANTED,2015-05-24,34,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual,31
